Industry Title,SIC Code,Company Name,cityba,zipba,Industry_Encoded,City_Encoded,Cluster
ELECTRONIC COMPUTERS,3571.0,Apple Inc.,CUPERTINO,95014,77,338,2
SEMICONDUCTORS & RELATED DEVICES,3674.0,NVIDIA CORP,SANTA CLARA,95051,273,1202,3
SERVICES-PREPACKAGED SOFTWARE,7372.0,MICROSOFT CORP,REDMOND,98052-6399,319,1117,3
"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",7370.0,Alphabet Inc.,MOUNTAIN VIEW,94043,286,908,3
RETAIL-CATALOG & MAIL-ORDER HOUSES,5961.0,AMAZON COM INC,SEATTLE,98109,240,1227,0
"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",7370.0,"Meta Platforms, Inc.",MENLO PARK,94025,286,842,3
"FIRE, MARINE & CASUALTY INSURANCE",6331.0,BERKSHIRE HATHAWAY INC,OMAHA,68131,87,1016,4
MOTOR VEHICLES & PASSENGER CAR BODIES,3711.0,"Tesla, Inc.",PALO ALTO,94304,171,1043,0
PHARMACEUTICAL PREPARATIONS,2834.0,ELI LILLY & Co,INDIANAPOLIS,46285,204,649,1
SEMICONDUCTORS & RELATED DEVICES,3674.0,Broadcom Inc.,SAN JOSE,95131,273,1191,3
RETAIL-VARIETY STORES,5331.0,Walmart Inc.,BENTONVILLE,72716,261,118,1
NATIONAL COMMERCIAL BANKS,6021.0,JPMORGAN CHASE & CO,NEW YORK,10017,174,956,0
"SERVICES-BUSINESS SERVICES, NEC",7389.0,VISA INC.,SAN FRANCISCO,94128-8999,280,1189,3
HOSPITAL & MEDICAL SERVICE PLANS,6324.0,UNITEDHEALTH GROUP INC,MINNEAPOLIS,55343,109,875,4
PETROLEUM REFINING,2911.0,EXXON MOBIL CORP,IRVING,75039-2298,203,654,1
PHARMACEUTICAL PREPARATIONS,2834.0,NOVO NORDISK A S,BAGSVAERD DENMARK,0,204,73,1
SERVICES-PREPACKAGED SOFTWARE,7372.0,ORACLE CORP,REDWOOD CITY,94065,319,1118,3
"SERVICES-BUSINESS SERVICES, NEC",7389.0,Mastercard Inc,PURCHASE,10577,280,1101,3
"SOAP, DETERGENTS, CLEANG PREPARATIONS, PERFUMES, COSMETICS",2840.0,PROCTER & GAMBLE Co,CINCINNATI,45202,329,279,1
RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS,5211.0,"HOME DEPOT, INC.",ATLANTA,30339-4024,254,61,1
RETAIL-VARIETY STORES,5331.0,COSTCO WHOLESALE CORP /NEW,ISSAQUAH,-98027,261,658,1
PHARMACEUTICAL PREPARATIONS,2834.0,JOHNSON & JOHNSON,NEW BRUNSWICK,8933,204,945,0
PHARMACEUTICAL PREPARATIONS,2834.0,AbbVie Inc.,NORTH CHICAGO,60064,204,976,0
SERVICES-VIDEO TAPE RENTAL,7841.0,NETFLIX INC,LOS GATOS,95032,326,780,3
NATIONAL COMMERCIAL BANKS,6021.0,BANK OF AMERICA CORP /DE/,CHARLOTTE,28255,174,254,1
BEVERAGES,2080.0,COCA COLA CO,ATLANTA,30313,21,61,2
SERVICES-PREPACKAGED SOFTWARE,7372.0,"Salesforce, Inc.",SAN FRANCISCO,94105,319,1189,3
SERVICES-PREPACKAGED SOFTWARE,7372.0,SAP SE,WALLDORF,69190,319,1434,3
"SPECIAL INDUSTRY MACHINERY, NEC",3559.0,ASML HOLDING NV,DR VELDHOVEN,5504,331,382,1
PETROLEUM REFINING,2911.0,CHEVRON CORP,SAN RAMON,94583,203,1197,0
PHARMACEUTICAL PREPARATIONS,2834.0,"Merck & Co., Inc.",KENILWORTH,7033,204,686,0
RADIOTELEPHONE COMMUNICATIONS,4812.0,"T-Mobile US, Inc.",BELLEVUE,98006,226,109,1
SEMICONDUCTORS & RELATED DEVICES,3674.0,ADVANCED MICRO DEVICES INC,SANTA CLARA,95054,273,1202,3
BEVERAGES,2080.0,PEPSICO INC,PURCHASE,10577,21,1101,4
PHARMACEUTICAL PREPARATIONS,2834.0,ASTRAZENECA PLC,CAMBRIDGE,CB2 0AA,204,208,1
NATIONAL COMMERCIAL BANKS,6021.0,WELLS FARGO & COMPANY/MN,SAN FRANCISCO,94163,174,1189,0
COMPUTER COMMUNICATIONS EQUIPMENT,3576.0,"CISCO SYSTEMS, INC.",SAN JOSE,95134-1706,47,1191,4
INDUSTRIAL INORGANIC CHEMICALS,2810.0,LINDE PLC,WOKING SURREY,GU216HT,118,1526,4
PHARMACEUTICAL PREPARATIONS,2834.0,NOVARTIS AG,BASEL,CH 4056,204,87,1
"SERVICES-BUSINESS SERVICES, NEC",7389.0,Accenture plc,DUBLIN,D2,280,386,1
RETAIL-EATING PLACES,5812.0,MCDONALDS CORP,CHICAGO,60607,246,272,1
SERVICES-PREPACKAGED SOFTWARE,7372.0,ADOBE INC.,SAN JOSE,95110-2704,319,1191,3
"MEASURING & CONTROLLING DEVICES, NEC",3829.0,THERMO FISHER SCIENTIFIC INC.,WALTHAM,2451,140,1437,0
CIGARETTES,2111.0,Philip Morris International Inc.,STAMFORD,6901,38,1303,4
INVESTMENT ADVICE,6282.0,Blackstone Inc.,NEW YORK,10154,126,956,0
CRUDE PETROLEUM & NATURAL GAS,1311.0,Shell plc,LONDON,SE1 7NA,56,768,4
PHARMACEUTICAL PREPARATIONS,2834.0,ABBOTT LABORATORIES,ABBOTT PARK,60064-3500,204,9,1
SERVICES-PREPACKAGED SOFTWARE,7372.0,"ServiceNow, Inc.",SANTA CLARA,95054,319,1202,3
COMPUTER & OFFICE EQUIPMENT,3570.0,INTERNATIONAL BUSINESS MACHINES CORP,ARMONK,10504,46,54,2
FINANCE SERVICES,6199.0,AMERICAN EXPRESS CO,NEW YORK,10285,86,956,4
"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",6211.0,MORGAN STANLEY,NEW YORK,10036,272,956,3
ELECTRONIC & OTHER ELECTRICAL EQUIPMENT (NO COMPUTER EQUIP),3600.0,GENERAL ELECTRIC CO,BOSTON,2210,73,154,2
SEMICONDUCTORS & RELATED DEVICES,3674.0,TEXAS INSTRUMENTS INC,DALLAS,75266,273,341,1
CONSTRUCTION MACHINERY & EQUIP,3531.0,CATERPILLAR INC,IRVING,75039,52,654,2
RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,3663.0,QUALCOMM INC/DE,SAN DIEGO,92121,224,1187,0
"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES",3842.0,INTUITIVE SURGICAL INC,SUNNYVALE,94086,193,1323,0
"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL",3823.0,DANAHER CORP /DE/,WASHINGTON,20037-1701,119,1448,4
TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),4813.0,VERIZON COMMUNICATIONS INC,NEW YORK,10036,344,956,3
SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION,7990.0,Walt Disney Co,BURBANK,91521,309,190,1
"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",2836.0,AMGEN INC,THOUSAND OAKS,91320,22,1355,4
"COMMERCIAL BANKS, NEC",6029.0,ROYAL BANK OF CANADA,TORONTO,M5J2J5,41,1369,4
SERVICES-PREPACKAGED SOFTWARE,7372.0,INTUIT INC.,MOUNTAIN VIEW,94043,319,908,3
CABLE & OTHER PAY TELEVISION SERVICES,4841.0,COMCAST CORP,PHILADELPHIA,19103-2838,31,1066,4
"SAVINGS INSTITUTION, FEDERALLY CHARTERED",6035.0,HSBC HOLDINGS PLC,LONDON,E145HQ,266,768,3
"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",6211.0,GOLDMAN SACHS GROUP INC,NEW YORK,10282,272,956,3
ELECTRIC SERVICES,4911.0,NEXTERA ENERGY INC,JUNO BEACH,33408,68,676,2
PHARMACEUTICAL PREPARATIONS,2834.0,PFIZER INC,NEW YORK,10001-2192,204,956,0
TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),4813.0,AT&T INC.,DALLAS,75202,344,341,1
AIRCRAFT ENGINES & ENGINE PARTS,3724.0,RTX Corp,WALTHAM,2451,13,1437,4
TRANSPORTATION SERVICES,4700.0,Booking Holdings Inc.,NORWALK,6854,351,990,3
"SOAP, DETERGENTS, CLEANG PREPARATIONS, PERFUMES, COSMETICS",2840.0,UNILEVER PLC,LONDON ENGLAND,EC4P 4BQ,329,769,3
"SERVICES-CONSUMER CREDIT REPORTING, COLLECTION AGENCIES",7320.0,S&P Global Inc.,NEW YORK,10041,288,956,3
RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS,5211.0,LOWES COMPANIES INC,MOORESVILLE,28117,254,899,3
"SERVICES-BUSINESS SERVICES, NEC",7389.0,"Uber Technologies, Inc",SAN FRANCISCO,94158,280,1189,3
SEMICONDUCTORS & RELATED DEVICES,3674.0,APPLIED MATERIALS INC /DE,SANTA CLARA,95054-3299,273,1202,3
"FIRE, MARINE & CASUALTY INSURANCE",6331.0,PROGRESSIVE CORP/OH/,MAYFIELD VILLAGE,44143,87,827,4
CRUDE PETROLEUM & NATURAL GAS,1311.0,TotalEnergies SE,COURBEVOIE,92400,56,328,2
"RAILROADS, LINE-HAUL OPERATING",4011.0,UNION PACIFIC CORP,OMAHA,68179,229,1016,0
METAL MINING,1000.0,BHP Group Ltd,VICTORIA AUSTRALIA,3000,147,1418,0
SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,3841.0,STRYKER CORP,KALAMAZOO,49002,340,679,3
PHARMACEUTICAL PREPARATIONS,2834.0,Sanofi,PARIS,75017,204,1049,0
AIRCRAFT ENGINES & ENGINE PARTS,3724.0,HONEYWELL INTERNATIONAL INC,CHARLOTTE,28202,13,254,2
MISC INDUSTRIAL & COMMERCIAL MACHINERY & EQUIPMENT,3590.0,Eaton Corp plc,DUBLIN,DUBLIN 4,153,386,2
"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",6211.0,SCHWAB CHARLES CORP,WESTLAKE,76262,272,1493,3
GUIDED MISSILES & SPACE VEHICLES & PARTS,3760.0,LOCKHEED MARTIN CORP,BETHESDA,20817,104,126,2
RETAIL-FAMILY CLOTHING STORES,5651.0,TJX COMPANIES INC /DE/,FRAMINGHAM,1701,247,490,1
INVESTMENT ADVICE,6282.0,KKR & Co. Inc.,NEW YORK,10001,126,956,0
PETROLEUM REFINING,2911.0,CONOCOPHILLIPS,HOUSTON,77079,203,635,1
SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,3841.0,BOSTON SCIENTIFIC CORP,MARLBOROUGH,01752-1234,340,818,3
PHARMACEUTICAL PREPARATIONS,2834.0,VERTEX PHARMACEUTICALS INC / MA,BOSTON,2210,204,154,1
NATIONAL COMMERCIAL BANKS,6021.0,CITIGROUP INC,NEW YORK,10013,174,956,0
COMPUTER COMMUNICATIONS EQUIPMENT,3576.0,"Arista Networks, Inc.",SANTA CLARA,95054,47,1202,4
MALT BEVERAGES,2082.0,Anheuser-Busch InBev SA/NV,LEUVEN,3000,139,744,0
SERVICES-COMPUTER PROCESSING & DATA PREPARATION,7374.0,AUTOMATIC DATA PROCESSING INC,ROSELAND,7068,284,1153,3
"COMPUTER PERIPHERAL EQUIPMENT, NEC",3577.0,Palo Alto Networks Inc,SANTA CLARA,95054,48,1202,4
TRUCKING & COURIER SERVICES (NO AIR),4210.0,UNITED PARCEL SERVICE INC,ATLANTA,30328,354,61,1
ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS,3845.0,Medtronic plc,DUBLIN,2,72,386,2
"FIRE, MARINE & CASUALTY INSURANCE",6331.0,Chubb Ltd,ZURICH,CH-8001,87,1555,4
RUBBER & PLASTICS FOOTWEAR,3021.0,"NIKE, Inc.",BEAVERTON,97005-6453,264,99,1
"SERVICES-BUSINESS SERVICES, NEC",7389.0,FISERV INC,BROOKFIELD,53045,280,176,1
PHARMACEUTICAL PREPARATIONS,2834.0,BRISTOL MYERS SQUIBB CO,NEW YORK,10016,204,956,0
FARM MACHINERY & EQUIPMENT,3523.0,DEERE & CO,MOLINE,61265-8098,83,885,4
"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",2836.0,"GILEAD SCIENCES, INC.",FOSTER CITY,94404,22,487,2
RETAIL-EATING & DRINKING PLACES,5810.0,STARBUCKS CORP,SEATTLE,98124-1067,245,1227,0
SEMICONDUCTORS & RELATED DEVICES,3674.0,ANALOG DEVICES INC,WILMINGTON,1887,273,1512,3
SEMICONDUCTORS & RELATED DEVICES,3674.0,MICRON TECHNOLOGY INC,BOISE,83716-9632,273,151,1
AIRCRAFT,3721.0,BOEING CO,ARLINGTON,22202,11,53,2
"INSURANCE AGENTS, BROKERS & SERVICE",6411.0,"MARSH & MCLENNAN COMPANIES, INC.",NEW YORK,10036,124,956,0
METAL MINING,1000.0,RIO TINTO PLC,"LONDON, SW1Y 4AD",0,147,772,0
REAL ESTATE INVESTMENT TRUSTS,6798.0,"Prologis, Inc.",SAN FRANCISCO,94111,232,1189,0
"SERVICES-BUSINESS SERVICES, NEC",7389.0,MERCADOLIBRE INC,MONTEVIDEO,11300,280,894,3
ELECTRIC SERVICES,4911.0,SOUTHERN CO,ATLANTA,30308,68,61,2
REAL ESTATE INVESTMENT TRUSTS,6798.0,AMERICAN TOWER CORP /MA/,BOSTON,2116,232,154,1
SERVICES-PREPACKAGED SOFTWARE,7372.0,SHOPIFY INC.,OTTAWA,K2P 2L8,319,1031,3
NATIONAL COMMERCIAL BANKS,6021.0,UBS Group AG,ZURICH,CH-8001,174,1555,0
"COMMERCIAL BANKS, NEC",6029.0,TORONTO DOMINION BANK,"TORONTO, ONTARIO",M5K 1A2,41,1372,4
HOSPITAL & MEDICAL SERVICE PLANS,6324.0,"Elevance Health, Inc.",INDIANAPOLIS,46204,109,649,2
"SPECIAL INDUSTRY MACHINERY, NEC",3559.0,LAM RESEARCH CORP,FREMONT,94538,331,495,1
CIGARETTES,2111.0,"ALTRIA GROUP, INC.",RICHMOND,23230,38,1128,4
"SERVICES-GENERAL MEDICAL & SURGICAL HOSPITALS, NEC",8062.0,"HCA Healthcare, Inc.",NASHVILLE,37203,297,932,3
SERVICES-PREPACKAGED SOFTWARE,7372.0,Palantir Technologies Inc.,DENVER,80202,319,363,1
SEMICONDUCTORS & RELATED DEVICES,3674.0,INTEL CORP,SANTA CLARA,95054,273,1202,3
FOOD AND KINDRED PRODUCTS,2000.0,"Mondelez International, Inc.",CHICAGO,60607,90,272,2
PHARMACEUTICAL PREPARATIONS,2834.0,"REGENERON PHARMACEUTICALS, INC.",TARRYTOWN,10591,204,1339,0
"RETAIL-BUILDING MATERIALS, HARDWARE, GARDEN SUPPLY",5200.0,SHERWIN WILLIAMS CO,CLEVELAND,44115,239,290,1
HOSPITAL & MEDICAL SERVICE PLANS,6324.0,Cigna Group,BLOOMFIELD,6002,109,140,2
"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES",6200.0,"Intercontinental Exchange, Inc.",ATLANTA,30328,271,61,1
ELECTRIC & OTHER SERVICES COMBINED,4931.0,Duke Energy CORP,CHARLOTTE,28202-1803,65,254,2
OPTICAL INSTRUMENTS & LENSES,3827.0,KLA CORP,MILPITAS,95035,191,869,0
PIPE LINES (NO NATURAL GAS),4610.0,ENBRIDGE INC,CALGARY,T2P 3L8,207,198,1
ELECTRONIC COMPUTERS,3571.0,Dell Technologies Inc.,ROUND ROCK,78682,77,1161,4
"SERVICES-BUSINESS SERVICES, NEC",7389.0,RELX PLC,LONDON WC2N 5JR,0,280,770,3
MOTOR VEHICLES & PASSENGER CAR BODIES,3711.0,Ferrari N.V.,MARANELLO,I-41053,171,811,0
REFUSE SYSTEMS,4953.0,WASTE MANAGEMENT INC,HOUSTON,77002,235,635,1
REAL ESTATE INVESTMENT TRUSTS,6798.0,EQUINIX INC,REDWOOD CITY,94065,232,1118,0
METAL MINING,1000.0,SOUTHERN COPPER CORP/,PHOENIX,85020,147,1067,0
REAL ESTATE INVESTMENT TRUSTS,6798.0,WELLTOWER INC.,TOLEDO,43615,232,1364,0
SERVICES-TO DWELLINGS & OTHER BUILDINGS,7340.0,"Airbnb, Inc.",SAN FRANCISCO,94103,325,1189,3
CRUDE PETROLEUM & NATURAL GAS,1311.0,PETROBRAS - PETROLEO BRASILEIRO SA,RIO DE JANERIO RJ BR,20035-900,56,1133,4
"MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS",2320.0,CINTAS CORP,CINCINNATI,45262,143,279,2
AUTO CONTROLS FOR REGULATING RESIDENTIAL & COMML ENVIRONMENTS,3822.0,Trane Technologies plc,CO. DUBLIN,0,18,292,2
"SERVICES-CONSUMER CREDIT REPORTING, COLLECTION AGENCIES",7320.0,MOODYS CORP /DE/,NEW YORK,10007,288,956,3
ELECTRIC SERVICES,4911.0,Constellation Energy Corp,BALTIMORE,21231,68,78,2
INVESTMENT ADVICE,6282.0,"Apollo Global Management, Inc.",NEW YORK,10019,126,956,0
PHARMACEUTICAL PREPARATIONS,2834.0,Zoetis Inc.,PARSIPPANY,7054,204,1052,0
"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES",6200.0,CME GROUP INC.,CHICAGO,60606,271,272,1
MISCELLANEOUS FABRICATED METAL PRODUCTS,3490.0,PARKER HANNIFIN CORP,CLEVELAND,44124-4141,157,290,2
SHIP & BOAT BUILDING & REPAIRING,3730.0,GENERAL DYNAMICS CORP,RESTON,20190,327,1123,3
ELECTRONIC CONNECTORS,3678.0,AMPHENOL CORP /DE/,WALLINGFORD,6492,78,1435,4
OPERATORS OF NONRESIDENTIAL BUILDINGS,6512.0,BROOKFIELD Corp /ON/,TORONTO,M5J2T3,189,1369,0
"INSURANCE AGENTS, BROKERS & SERVICE",6411.0,Aon plc,DUBLIN 1,D01 K0Y8,124,387,2
"SERVICES-BUSINESS SERVICES, NEC",7389.0,"PayPal Holdings, Inc.",SAN JOSE,95131,280,1191,3
SERVICES-PREPACKAGED SOFTWARE,7372.0,SYNOPSYS INC,MOUNTAIN VIEW,94043,319,908,3
GENERAL INDUSTRIAL MACHINERY & EQUIPMENT,3560.0,ILLINOIS TOOL WORKS INC,GLENVIEW,60025,98,528,2
PETROLEUM REFINING,2911.0,BP PLC,LONDON,SW1Y 4PD,203,768,0
CIGARETTES,2111.0,British American Tobacco p.l.c.,LONDON,WC2R 2PG,38,768,4
"PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS",2844.0,COLGATE PALMOLIVE CO,NEW YORK,10022,200,956,0
RADIO BROADCASTING STATIONS,4832.0,Spotify Technology S.A.,LUXEMBOURG,L-1616,225,789,0
RETAIL-EATING PLACES,5812.0,CHIPOTLE MEXICAN GRILL INC,NEWPORT BEACH,92660,246,962,0
PHARMACEUTICAL PREPARATIONS,2834.0,GSK plc,BRENTFORD MIDDLESEX,TW8 9GS,204,166,1
SERVICES-PREPACKAGED SOFTWARE,7372.0,CADENCE DESIGN SYSTEMS INC,SAN JOSE,95134,319,1191,3
NATIONAL COMMERCIAL BANKS,6021.0,US BANCORP \DE\,MINNEAPOLIS,55402-7020,174,875,0
RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,3663.0,"Motorola Solutions, Inc.",CHICAGO,60661,224,272,1
NATIONAL COMMERCIAL BANKS,6021.0,"PNC FINANCIAL SERVICES GROUP, INC.",PITTSBURGH,15222-2401,174,1071,0
